img_id,license_plate,detected_labels
P1010001.jpg,171NVX75,
P1010002.jpg,ZH247640,
P1010003.jpg,819KXH75,
P1010004.jpg,DU748BH,
P1010005.jpg,SGD3164,
P1010006.jpg,KI43GC,
P6040007.jpg,LJ465H,
P6040008.jpg,325J521,325J521
P6040009.jpg,ZG2877J,
P6040010.jpg,ZG2877J,
P6040011.jpg,BEJ5345,
P6040012.jpg,SK253CL,
P6040013.jpg,ZG655UR,
P6040014.jpg,ZG7871S,
P6040015.jpg,ZG8297I,
P6040016.jpg,VZ0909MD,
P6040017.jpg,ZG884AM,
P6040018.jpg,ZG667BU,
P6040019.jpg,RI681GN,
P6040020.jpg,RI373KI,
P6040021.jpg,ZG877TF,
P6040022.jpg,ZG637LV,
P6040023.jpg,ZG4513R,
P6040024.jpg,PE59FT,PE59FT
P6040025.jpg,ZG5715AK,
P6040026.jpg,ZG4269AC,
P6040027.jpg,MA398AG,
P6040028.jpg,066A007,
P6040029.jpg,EDAL551,
P6040030.jpg,BJ100EE,
P6040031.jpg,KC538AG,
P6040032.jpg,ZD539CH,
P6040033.jpg,ZG3585AI,
P6040034.jpg,ZG6123J,
P6040035.jpg,EZG26,
P6040036.jpg,FAM165,
P6040037.jpg,ZG9158AK,
P6040038.jpg,ZG763VE,
P6040039.jpg,SK180BM,
P6040040.jpg,BW678RX,
P6040041.jpg,SI663BN,
P6040042.jpg,ZG8000Z,
P6040043.jpg,ZG990NL,
P6040044.jpg,ZG162LC,
P6040045.jpg,ZG6082AK,
P6040046.jpg,PU742HV,
P6040047.jpg,ZG4240AC,
P6040048.jpg,SW771AE,
P6040049.jpg,LJE797R,
P6040050.jpg,ST329JH,
P6040051.jpg,W21337S,
P6040052.jpg,BV593KX,
P6040053.jpg,KA451CC,
P6040054.jpg,IM954S,
P6040055.jpg,KA127C0,
P6040056.jpg,NJA1473,
P6040057.jpg,VT809T,VT809T
P6040058.jpg,KZ386L,
P6040059.jpg,NG619AA,
P6040060.jpg,PU865HZ,
P6040061.jpg,PU253IB,
P6040062.jpg,HGAS1802,
P6040063.jpg,ZG4459L,
P6040064.jpg,VZ820DD,
P6040065.jpg,2216YE06,
P6040066.jpg,ZG6839AI,
P6040067.jpg,018050A,
P6040068.jpg,ZG4215AC,
